stimuli_id,word,color,congruent,corrAnsw,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,Instruction.stopped,interupt_key.keys,interupt_key.rt,interupt_key.started,interupt_key.stopped,Stimul_text.started,Stimul_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fix_cross.started,fix_cross.stopped,sync_square.started,sync_square.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,red,green,0,g,5,10,90,4,,,,,,,273.20053790000384,None,g,1,0.5539088000077754,273.20053790000384,None,271.21509850001894,273.21690830000443,273.20053790000384,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
7,green,green,1,g,5,11,91,6,,,,,,,275.7695922999992,None,g,1,0.3707360999833327,275.7695922999992,None,273.784375200019,275.78588810001384,275.7695922999992,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
12,yellow,blue,0,b,5,12,92,11,,,,,,,278.1552107000025,None,y,0,0.8660250999964774,278.1552107000025,None,276.1701847999939,278.1721369000152,278.1552107000025,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
8,yellow,green,0,g,5,13,93,7,,,,,,,281.02471009999863,None,y,0,1.5631388000037987,281.02471009999863,None,279.0394645000051,281.04217770000105,281.02471009999863,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
13,red,yellow,0,y,5,14,94,12,,,,,,,284.5953015999985,None,r,0,1.7653030000219587,284.5953015999985,None,282.6097559000191,284.6118359999964,284.5953015999985,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
4,yellow,red,0,r,5,15,95,3,,,,,,,288.36708960001124,None,y,0,0.7719158999971114,288.36708960001124,None,286.380066600017,288.38157440000214,288.36708960001124,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
8,yellow,green,0,g,6,0,96,7,,,,,,,291.15170849999413,None,r,0,0.6048034000268672,291.15170849999413,None,289.1657962000172,291.16836909999256,291.15170849999413,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
16,yellow,yellow,1,y,6,1,97,15,,,,,,,293.77091429999564,None,y,1,0.6198013999965042,293.77091429999564,None,291.7851338000037,293.7875973999908,293.77091429999564,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
3,green,red,0,r,6,2,98,2,,,,,,,296.4066257000086,None,g,0,0.5116568999947049,296.4066257000086,None,294.42167119999067,296.4237146000087,296.4066257000086,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
9,red,blue,0,b,6,3,99,8,,,,,,,298.92561500001466,None,b,1,1.4151681000075769,298.92561500001466,None,296.94075030001113,298.94216810000944,298.92561500001466,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
11,green,blue,0,b,6,4,100,10,,,,,,,302.346234800003,None,b,1,0.45392940001329407,302.346234800003,None,300.3608254000137,302.3627483000164,302.346234800003,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
12,yellow,blue,0,b,6,5,101,11,,,,,,,304.81489199999487,None,b,1,0.42931160001899116,304.81489199999487,None,302.8296398000093,304.83219929999905,304.81489199999487,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
4,yellow,red,0,r,6,6,102,3,,,,,,,307.25082030001795,None,r,1,0.6310691999970004,307.25082030001795,None,305.2656154000142,307.2675686000148,307.25082030001795,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
10,blue,blue,1,b,6,7,103,9,,,,,,,309.88682129999506,None,b,1,1.0227563999942504,309.88682129999506,None,307.90119669999694,309.9033261000004,309.88682129999506,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
7,green,green,1,g,6,8,104,6,,,,,,,312.92355820001103,None,g,1,0.6517298000107985,312.92355820001103,None,310.9379799000162,312.9400534000015,312.92355820001103,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
13,red,yellow,0,y,6,9,105,12,,,,,,,315.57561810000334,None,y,1,1.616045300004771,315.57561810000334,None,313.5908280000149,315.5926188000012,315.57561810000334,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
1,red,red,1,r,6,10,106,0,,,,,,,319.19620890001534,None,r,1,0.6530665000027511,319.19620890001534,None,317.21054960001493,319.21325890001026,319.19620890001534,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
14,blue,yellow,0,y,6,11,107,13,,,,,,,321.86522910001804,None,y,1,0.8031039999914356,321.86522910001804,None,319.8804103000148,321.8822549000033,321.86522910001804,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
